t,u,v,w,p,q,r,x,y,z,phi,theta,psi,U1,U2,U3,U4,Ix_hat,Iy_hat,Iz_hat,x_ref,y_ref,z_ref,psi_ref
2.1,0.636407,-0.644247,-1.85062,-0.270027,-0.352313,0.200268,0.602431,-0.20756,6.54606,0.00445188,0.0323923,1.8593,5.6209,-0.0116458,-0.0149095,0.00948585,0.0034,0.0034,0.006,1.89147,0.647588,6.19117,1.86925
2.2,0.599123,-0.616878,-2.05112,-0.0863694,-0.0926242,0.212295,0.646637,-0.133395,6.3511,-0.0129425,0.0102435,1.88003,5.6209,0.00612654,0.00892359,0.000721664,0.0034,0.0034,0.006,1.88083,0.677142,6.10933,1.88496
2.3,0.581936,-0.602219,-2.23309,-0.00888255,-0.0255027,0.160295,0.689652,-0.0586312,6.13781,-0.0175637,0.0046207,1.89875,5.6209,0.00260404,0.0023069,-0.00312002,0.0034,0.0034,0.006,1.87019,0.706695,6.02749,1.90066
2.4,0.580466,-0.600564,-2.40639,0.0676375,0.0426401,0.108295,0.731242,0.0160884,5.9068,-0.0145589,0.00569708,1.91216,5.6209,0.00260404,0.0023069,-0.00312002,0.0034,0.0034,0.006,1.85955,0.736249,5.94565,1.91637
2.5,0.567858,-0.589686,-2.35841,-0.113385,-0.119231,0.183581,0.771383,0.0908159,5.66959,-0.0167879,0.00209297,1.92681,7.20626,-0.00617098,-0.00549245,0.00451719,0.0034,0.0034,0.006,1.84708,0.765076,5.82648,1.93208
2.6,0.537115,-0.562356,-2.31515,-0.0297661,-0.0343446,0.181845,0.809796,0.165096,5.43709,-0.0239773,-0.00520918,1.94523,7.20626,0.00280645,0.00292015,-0.000104193,0.0034,0.0034,0.006,1.8346,0.793904,5.70732,1.94779
2.7,0.516264,-0.543552,-2.2654,0.0011939,-0.0109239,0.159928,0.846133,0.23803,5.20949,-0.025511,-0.00704863,1.96237,7.20626,0.0010423,0.000802883,-0.00131498,0.0034,0.0034,0.006,1.82213,0.822731,5.58815,1.9635
2.8,0.5016,-0.530302,-2.21273,0.0318421,0.0128778,0.138012,0.88033,0.309317,4.98697,-0.0239613,-0.00658112,1.97727,7.20626,0.0010423,0.000802883,-0.00131498,0.0034,0.0034,0.006,1.80965,0.851559,5.46898,1.9792
2.9,0.485945,-0.514577,-2.0623,-0.0347129,-0.0260109,0.168848,0.912417,0.378914,4.77456,-0.0242072,-0.00687019,1.99262,7.89798,-0.00226566,-0.0013212,0.00185016,0.0034,0.0034,0.006,1.79539,0.879546,5.33131,1.99491
3,0.46631,-0.493334,-1.91336,-0.00723117,-0.0100031,0.167964,0.942312,0.446663,4.57711,-0.0264325,-0.00824311,2.0095,7.89798,0.000926474,0.00055345,-5.30456e-05,0.0034,0.0034,0.006,1.78113,0.907533,5.19363,2.01062
3.1,0.448722,-0.474114,-1.76294,0.00201047,-0.00522154,0.1585,0.969908,0.512314,4.39464,-0.0268309,-0.00856917,2.02584,7.89798,0.000310949,0.000163707,-0.000567851,0.0034,0.0034,0.006,1.76687,0.93552,5.05595,2.02633
3.2,0.432717,-0.455859,-1.61186,0.0111893,-0.000328975,0.149035,0.995208,0.575769,4.2272,-0.0263018,-0.00843777,2.04122,7.89798,0.000310949,0.000163707,-0.000567851,0.0034,0.0034,0.006,1.75261,0.963507,4.91828,2.04204
3.3,0.418262,-0.437948,-1.43872,0.00110186,0.00666491,0.161888,1.01826,0.637007,4.07588,-0.0258129,-0.00771646,2.05675,8.05044,-0.000341681,0.000235357,0.000771175,0.0034,0.0034,0.006,1.73662,0.990544,4.78382,2.05774
3.4,0.404522,-0.419501,-1.26584,0.00182988,-0.00125693,0.162337,1.0391,0.696066,3.94181,-0.0257854,-0.00702792,2.07295,8.05044,2.58909e-05,-0.000269957,2.69298e-05,0.0034,0.0034,0.006,1.72063,1.01758,4.64937,2.07345
3.5,0.390916,-0.400825,-1.09314,0.00183859,-0.00313391,0.157762,1.05772,0.75298,3.82496,-0.0257129,-0.0068353,2.08896,8.05044,-6.18238e-07,-6.4582e-05,-0.000274533,0.0034,0.0034,0.006,1.70465,1.04462,4.51492,2.08916
3.6,0.377731,-0.381804,-0.920524,0.00186894,-0.00501129,0.153186,1.07416,0.807739,3.72531,-0.0256338,-0.00684331,2.10451,8.05044,-6.18238e-07,-6.4582e-05,-0.000274533,0.0034,0.0034,0.006,1.68866,1.07165,4.38047,2.10487
3.7,0.365891,-0.363527,-0.756432,0.017058,0.0154183,0.159099,1.08846,0.860334,3.64242,-0.0247876,-0.0059291,2.12011,7.98662,0.00051855,0.000690753,0.000354799,0.0034,0.0034,0.006,1.671,1.09763,4.27047,2.12058
3.8,0.355709,-0.346352,-0.592213,0.00557869,0.00124444,0.159964,1.1007,0.910875,3.57588,-0.02374,-0.00470952,2.13603,7.98662,-0.00038684,-0.000486595,5.18819e-05,0.0034,0.0034,0.006,1.65334,1.12361,4.16047,2.13628
3.9,0.345896,-0.328995,-0.428611,0.00163939,-0.00227925,0.157433,1.11093,0.959494,3.52565,-0.0234512,-0.00438692,2.1519,7.98662,-0.000134146,-0.000121298,-0.000151859,0.0034,0.0034,0.006,1.63569,1.14959,4.05048,2.15199
4,0.336466,-0.311297,-0.265265,-0.00225757,-0.00585051,0.154902,1.1192,1.00622,3.49172,-0.0235508,-0.00442644,2.16752,7.98662,-0.000134146,-0.000121298,-0.000151859,0.0034,0.0034,0.006,1.61803,1.17557,3.94048,2.1677
4.1,0.327679,-0.293848,-0.118193,0.0237822,0.0147591,0.158029,1.12554,1.05103,3.47324,-0.0225381,-0.00361982,2.18316,7.86877,0.000887162,0.000696334,0.000187614,0.0034,0.0034,0.006,1.59878,1.20039,3.8723,2.18341
4.2,0.320329,-0.277827,0.0290756,0.00697991,0.00132078,0.158805,1.13003,1.09406,3.46941,-0.0210477,-0.00247132,2.19898,7.86877,-0.000567962,-0.000463227,4.65631e-05,0.0034,0.0034,0.006,1.57953,1.22521,3.80412,2.19911
4.3,0.313817,-0.262388,0.175728,0.00145929,-0.0018665,0.157276,1.13276,1.13546,3.48021,-0.0206623,-0.00216919,2.21478,7.86877,-0.00018781,-0.000110104,-9.17138e-05,0.0034,0.0034,0.006,1.56028,1.25003,3.73594,2.21482
4.4,0.307808,-0.246988,0.32213,-0.00402278,-0.0051202,0.155748,1.13378,1.17525,3.50563,-0.0208245,-0.00219398,2.23043,7.86877,-0.00018781,-0.000110104,-9.17138e-05,0.0034,0.0034,0.006,1.54103,1.27485,3.66776,2.23053
4.5,0.301952,-0.231163,0.44819,0.0250326,0.0107377,0.157599,1.13311,1.21344,3.54462,-0.0198041,-0.00159403,2.24609,7.7235,0.000989019,0.000534878,0.000111073,0.0034,0.0034,0.006,1.52025,1.29841,3.65216,2.24624
4.6,0.297087,-0.216586,0.574414,0.00700975,0.000550463,0.158129,1.13085,1.25013,3.59617,-0.01822,-0.000730166,2.26186,7.7235,-0.000610454,-0.000352934,3.18127e-05,0.0034,0.0034,0.006,1.49948,1.32197,3.63656,2.26195
4.7,0.293229,-0.203354,0.700161,0.00124099,-0.00165423,0.157191,1.12708,1.28545,3.66027,-0.0178171,-0.000501448,2.27763,7.7235,-0.000196362,-7.66522e-05,-5.62877e-05,0.0034,0.0034,0.006,1.47871,1.34553,3.62097,2.27765
4.8,0.289885,-0.190539,0.825723,-0.00450096,-0.00392825,0.156253,1.12184,1.31946,3.7369,-0.0179879,-0.000500149,2.2933,7.7235,-0.000196362,-7.66522e-05,-5.62877e-05,0.0034,0.0034,0.006,1.45794,1.36909,3.60537,2.29336
